Commodity,2018,2019,2020,2021,2022
Standard milk 3.25%,10.41,11.2,11.53,11.28,11.18
"Standard milk 3.25%, milk solids",1.29,1.38,1.42,1.39,1.38
Buttermilk,0.32,0.39,0.38,0.44,0.4
"Buttermilk, milk solids",0.03,0.04,0.04,0.05,0.04
Partly skimmed milk 2%,32.78,32.4,32.55,30.94,29.9
"Partly skimmed milk 2%, milk solids",3.65,3.6,3.62,3.44,3.33
Partly skimmed milk 1%,11.91,10.89,11.01,10.48,9.7
"Partly skimmed milk 1%, milk solids",1.32,1.21,1.22,1.17,1.08
Skim milk,4.57,3.74,3.65,3.38,3.06
"Skim milk, milk solids",0.44,0.36,0.35,0.33,0.3
Chocolate and other flavoured milk 8,5.53,5.25,4.78,4.45,4.36
"Chocolate and other flavoured milk, milk solids 8",0.6,0.57,0.52,0.48,0.47
Cereal cream 10%,3.13,3.22,3.12,2.99,2.88
"Cereal cream 10%, milk solids",0.62,0.64,0.62,0.59,0.57
Table cream 18%,3.9,4.21,3.83,3.78,3.82
"Table cream 18%, milk solids",1.03,1.12,1.02,1.0,1.01
Whipping cream 32% or 35%,1.6,1.42,1.37,1.49,1.53
"Whipping cream 32% or 35%, milk solids",0.61,0.54,0.52,0.57,0.58
Sour cream,1.43,1.41,1.46,1.45,1.4
"Sour cream, milk solids",0.29,0.29,0.3,0.29,0.28
Yogurt,9.87,9.34,9.14,9.15,8.89
"Yogurt, milk solids",1.12,1.06,1.04,1.04,1.01
"Chicken, boneless weight",20.88,21.1,20.65,20.73,21.3
"Chicken, eviscerated weight",34.69,35.05,34.3,34.43,35.38
"Stewing hen, boneless weight",1.7,1.75,1.63,1.5,1.53
"Stewing hen, eviscerated weight",2.82,2.9,2.71,2.49,2.54
"Chicken and stewing hen total, boneless weight",22.58,22.85,22.28,22.22,22.83
"Chicken and stewing hen total, eviscerated weight",37.5,37.95,37.01,36.92,37.92
"Turkey, boneless weight",3.38,3.09,2.97,2.87,2.64
"Turkey, eviscerated weight",4.27,3.91,3.76,3.63,3.34
Eggs 9,15.04,15.22,15.14,15.24,15.33
"Pork, carcass weight 10",21.66,22.08,18.77,18.92,20.17
"Pork, boneless weight 10",15.79,16.1,13.7,13.83,14.74
Pork 10,16.46,16.78,14.26,14.38,15.33
"Beef, carcass weight 10",25.43,25.45,25.97,24.1,24.84
"Beef, boneless weight 10 11",16.07,16.01,16.28,15.09,15.53
Beef 10 11,18.0,17.97,18.31,16.99,17.49
"Veal, carcass weight 10",0.93,0.9,0.94,0.91,0.9
"Veal, boneless weight 10",0.64,0.62,0.64,0.62,0.62
Veal 10,0.77,0.75,0.78,0.76,0.75
"Beef and veal total, carcass weight 10",26.35,26.35,26.9,25.01,25.74
"Beef and veal total, boneless weight 10",16.7,16.63,16.92,15.71,16.14
Beef and veal total 10,18.77,18.72,19.08,17.75,18.24
"Mutton and lamb, carcass weight 10",1.07,0.97,0.99,0.97,1.09
"Mutton and lamb, boneless weight 10",0.71,0.64,0.65,0.64,0.72
Mutton and lamb 10,0.95,0.87,0.88,0.87,0.97
"Offal, carcass weight 10",1.15,1.18,1.0,0.9,0.83
"Offal, boneless weight 10",1.15,1.18,1.0,0.9,0.83
Offal 10,1.15,1.18,1.0,0.9,0.83
Butter,3.25,3.67,3.69,3.71,3.57
"Butter, milk solids",2.6,2.94,2.95,2.97,2.86
"Butter, fat content",2.6,2.94,2.95,2.97,2.86
Margarine,2.65,2.58,2.43,2.25,2.12
"Margarine, fat content",2.15,2.09,1.97,1.82,1.72
Salad oils,15.91,17.19,17.61,17.54,16.68
"Salad oils, fat content",15.91,17.19,17.61,17.54,16.68
Shortening and shortening oils,5.31,5.24,4.97,5.19,4.59
"Shortening and shortening oils, fat content",5.31,5.24,4.97,5.19,4.59
Apples fresh,10.49,9.75,9.93,8.67,7.72
"Apples fresh, fresh equivalent",10.49,9.75,9.93,8.67,7.72
Apples canned,0.08,0.12,0.11,0.09,0.09
"Apples canned, fresh equivalent",0.15,0.23,0.2,0.17,0.17
Apples dried,0.05,0.04,0.04,0.04,0.05
"Apples dried, fresh equivalent",0.43,0.33,0.36,0.35,0.39
Apples frozen,0.05,0.04,0.04,0.04,0.04
"Apples frozen, fresh equivalent",0.08,0.07,0.07,0.06,0.07
Apple juice,4.08,3.7,3.71,3.75,3.7
"Apple juice, fresh equivalent",5.63,5.11,5.12,5.18,5.11
Apple juice,3.9,3.54,3.56,3.59,3.55
Apple pie filling,0.08,0.08,0.08,0.07,0.07
"Apple pie filling, fresh equivalent",0.12,0.12,0.12,0.11,0.11
Apple sauce,0.58,0.56,0.54,0.41,0.36
"Apple sauce, fresh equivalent",0.75,0.73,0.69,0.53,0.46
Apricots fresh,0.09,0.11,0.09,0.09,0.07
"Apricots fresh, fresh equivalent",0.09,0.11,0.09,0.09,0.07
Apricots canned,0.03,0.04,0.03,0.02,0.02
"Apricots canned, fresh equivalent",0.02,0.03,0.02,0.02,0.02
Avocados fresh,2.38,2.37,2.63,2.69,2.37
"Avocados fresh, fresh equivalent",2.38,2.37,2.63,2.69,2.37
Bananas fresh,15.58,15.45,15.57,15.34,14.68
"Bananas fresh, fresh equivalent",15.58,15.45,15.57,15.34,14.68
Other fresh berries,1.1,1.14,1.17,1.1,1.18
"Other fresh berries, fresh equivalent",1.1,1.14,1.17,1.1,1.18
Blueberries fresh,1.19,1.45,1.37,1.86,1.39
"Blueberries fresh, fresh equivalent",1.19,1.45,1.37,1.86,1.39
Blueberries canned,0.02,0.02,0.02,0.01,0.02
"Blueberries canned, fresh equivalent",0.02,0.02,0.02,0.01,0.01
Blueberries frozen,0.63,0.92,0.46,1.06,2.0
"Blueberries frozen, fresh equivalent",0.65,0.95,0.47,1.09,2.06
Cherries fresh,0.97,0.97,0.88,0.89,0.56
"Cherries fresh, fresh equivalent",0.97,0.97,0.88,0.89,0.56
Cherries frozen,0.34,0.35,0.32,0.42,0.32
"Cherries frozen, fresh equivalent",0.34,0.35,0.32,0.42,0.32
Coconut fresh,0.41,0.38,0.34,0.43,0.39
"Coconut fresh, fresh equivalent",0.41,0.38,0.34,0.43,0.39
Cranberries fresh,2.77,3.08,2.74,2.6,3.93
"Cranberries fresh, fresh equivalent",2.77,3.08,2.74,2.6,3.93
Dates fresh,1.72,1.78,1.89,1.95,1.74
"Dates fresh, fresh equivalent",1.72,1.78,1.89,1.95,1.74
Grapes fresh,4.54,4.49,4.46,4.39,4.39
"Grapes fresh, fresh equivalent",4.54,4.49,4.46,4.39,4.39
Grape juice,2.98,3.27,2.84,2.93,2.3
"Grape juice, fresh equivalent",3.69,4.06,3.52,3.64,2.86
Grape juice,2.87,3.16,2.74,2.83,2.22
Guavas and mangoes fresh,1.67,1.74,1.88,1.94,1.81
"Guavas and mangoes fresh, fresh equivalent",1.67,1.74,1.88,1.94,1.81
Kiwis fresh,0.43,0.45,0.52,0.61,0.62
"Kiwis fresh, fresh equivalent",0.43,0.45,0.52,0.61,0.62
"Melons, musk and cantaloups fresh",2.64,2.28,1.94,1.75,1.75
"Melons, musk and cantaloups fresh, fresh equivalent",2.64,2.28,1.94,1.75,1.75
Other fresh melons,1.59,1.45,1.37,1.49,1.35
"Other fresh melons, fresh equivalent",1.59,1.45,1.37,1.49,1.35
Watermelons fresh,6.27,6.22,6.29,6.88,5.77
"Watermelons fresh, fresh equivalent",6.27,6.22,6.29,6.88,5.77
Wintermelons fresh,0.05,0.05,0.04,0.03,0.03
"Wintermelons fresh, fresh equivalent",0.05,0.05,0.04,0.03,0.03
Melons total fresh 12,10.55,10.0,9.63,10.15,8.9
"Melons total fresh, fresh equivalent 12",10.55,10.0,9.63,10.15,8.9
Nectarines fresh,0.56,0.51,0.51,0.53,0.5
"Nectarines fresh, fresh equivalent",0.56,0.51,0.51,0.53,0.5
Papayas fresh,0.42,0.44,0.45,0.54,0.47
"Papayas fresh, fresh equivalent",0.42,0.44,0.45,0.54,0.47
Peaches fresh,1.08,1.11,0.97,1.04,0.96
"Peaches fresh, fresh equivalent",1.08,1.11,0.97,1.04,0.96
Peaches canned,0.49,0.5,0.53,0.45,0.49
"Peaches canned, fresh equivalent",0.5,0.51,0.54,0.46,0.5
Pears fresh,1.83,1.83,1.66,1.7,1.58
"Pears fresh, fresh equivalent",1.83,1.83,1.66,1.7,1.58
Pears canned,0.16,0.16,0.16,0.14,0.14
"Pears canned, fresh equivalent",0.18,0.18,0.17,0.15,0.16
Pineapples fresh,3.23,3.02,2.82,3.12,3.14
"Pineapples fresh, fresh equivalent",3.23,3.02,2.82,3.12,3.14
Pineapples canned,0.61,0.61,0.44,0.54,0.72
"Pineapples canned, fresh equivalent",1.04,1.04,0.75,0.92,1.23
Pineapple juice,0.49,0.61,0.54,0.66,0.61
"Pineapple juice, fresh equivalent",0.83,1.04,0.91,1.12,1.04
Pineapple juice,0.47,0.59,0.52,0.64,0.59
Plums total fresh,0.51,0.51,0.46,0.46,0.46
"Plums total fresh, fresh equivalent",0.51,0.51,0.46,0.46,0.46
Quinces fresh,0.0,0.01,0.01,0.01,0.01
"Quinces fresh, fresh equivalent",0.0,0.01,0.01,0.01,0.01
Raspberries frozen,0.39,0.39,0.41,0.38,0.3
"Raspberries frozen, fresh equivalent",0.41,0.41,0.43,0.4,0.31
Strawberries fresh,3.45,2.92,2.89,2.98,2.99
"Strawberries fresh, fresh equivalent",3.45,2.92,2.89,2.98,2.99
Strawberries canned,0.07,0.06,0.04,0.04,0.02
"Strawberries canned, fresh equivalent",0.05,0.04,0.03,0.03,0.01
Strawberries frozen,0.81,0.86,0.97,1.08,1.0
"Strawberries frozen, fresh equivalent",0.73,0.77,0.86,0.96,0.89
Oranges fresh 14,8.78,8.49,9.12,8.85,8.25
"Oranges fresh, fresh equivalent 14",8.78,8.49,9.12,8.85,8.25
Orange juice,9.4,8.95,8.94,8.93,8.51
"Orange juice, fresh equivalent",17.29,16.47,16.44,16.42,15.65
Orange juice,9.07,8.64,8.62,8.62,8.21
Lemons fresh,1.85,1.86,1.92,2.01,2.02
"Lemons fresh, fresh equivalent",1.85,1.86,1.92,2.01,2.02
Lemon juice,1.14,1.1,1.15,1.45,0.83
"Lemon juice, fresh equivalent",3.4,3.29,3.45,4.33,2.48
Lemon juice,1.1,1.06,1.11,1.4,0.8
Grapefruits fresh,0.94,0.87,0.98,0.9,0.79
"Grapefruits fresh, fresh equivalent",0.94,0.87,0.98,0.9,0.79
Grapefruit juice,0.28,0.27,0.26,0.28,0.3
"Grapefruit juice, fresh equivalent",0.59,0.55,0.55,0.58,0.62
Grapefruit juice,0.27,0.26,0.26,0.27,0.29
Limes fresh,0.73,0.73,0.78,0.73,0.68
"Limes fresh, fresh equivalent",0.73,0.73,0.78,0.73,0.68
Mandarins fresh,3.71,3.62,4.03,3.99,3.63
"Mandarins fresh, fresh equivalent",3.71,3.62,4.03,3.99,3.63
Other citrus fresh,0.04,0.07,0.03,0.04,0.03
"Other citrus fresh, fresh equivalent",0.04,0.07,0.03,0.04,0.03
Artichokes fresh,0.04,0.03,0.04,0.04,0.03
"Artichokes fresh, fresh equivalent",0.04,0.03,0.04,0.04,0.03
Asparagus fresh,0.75,0.75,0.74,0.81,0.67
"Asparagus fresh, fresh equivalent",0.75,0.75,0.74,0.81,0.67
Asparagus canned 15,0.01,0.01,0.01,0.03,0.02
"Asparagus canned, fresh equivalent 15",0.02,0.01,0.01,0.03,0.03
Beets fresh,0.97,0.94,0.91,0.98,0.91
"Beets fresh, fresh equivalent",0.97,0.94,0.91,0.98,0.91
Beets canned,0.2,0.26,0.25,0.2,0.19
"Beets canned, fresh equivalent",0.24,0.31,0.3,0.24,0.23
Broccoli fresh 16,2.45,2.37,2.3,2.5,2.96
"Broccoli fresh, fresh equivalent 16",2.45,2.37,2.3,2.5,2.96
Broccoli frozen,0.78,0.91,0.9,0.9,0.9
"Broccoli frozen, fresh equivalent",1.03,1.2,1.19,1.2,1.2
Brussels sprouts fresh,0.34,0.33,0.38,0.39,0.38
"Brussels sprouts fresh, fresh equivalent",0.34,0.33,0.38,0.39,0.38
Brussels sprouts frozen,0.07,0.09,0.08,0.08,0.08
"Brussels sprouts frozen, fresh equivalent",0.1,0.13,0.11,0.1,0.11
Cabbage fresh,4.26,4.5,4.36,4.25,4.33
"Cabbage fresh, fresh equivalent",4.26,4.5,4.36,4.25,4.33
Chinese cabbage fresh 17,1.62,1.69,1.64,1.69,1.68
"Chinese cabbage fresh, fresh equivalent 17",1.62,1.69,1.64,1.69,1.68
Kale fresh 18,0.79,0.77,0.68,0.71,0.7
"Kale fresh, fresh equivalent 18",0.79,0.77,0.68,0.71,0.7
Carrots fresh,7.27,6.46,6.71,6.26,6.04
"Carrots fresh, fresh equivalent",7.27,6.46,6.71,6.26,6.04
Carrots canned 15,0.62,0.65,0.73,0.75,0.68
"Carrots canned, fresh equivalent 15",0.79,0.83,0.94,0.96,0.87
Carrots frozen,1.15,1.31,1.32,1.3,1.06
"Carrots frozen, fresh equivalent",2.1,2.38,2.41,2.36,1.93
Cauliflower fresh 16,3.01,2.8,2.88,3.03,1.43
"Cauliflower fresh, fresh equivalent 16",3.01,2.8,2.88,3.03,1.43
Cauliflower frozen,0.09,0.11,0.12,0.11,0.13
"Cauliflower frozen, fresh equivalent",0.13,0.15,0.16,0.15,0.18
Celery fresh,2.69,2.43,2.77,2.61,2.28
"Celery fresh, fresh equivalent",2.69,2.43,2.77,2.61,2.28
Corn fresh,2.84,2.78,2.6,2.93,2.45
"Corn fresh, fresh equivalent",2.84,2.78,2.6,2.93,2.45
Corn canned,0.83,0.8,0.88,0.76,0.76
"Corn canned, fresh equivalent",1.99,1.91,2.11,1.81,1.81
Corn frozen,0.37,0.41,0.42,0.38,0.39
"Corn frozen, fresh equivalent",1.22,1.36,1.4,1.26,1.31
Cucumbers fresh,3.56,3.24,3.42,2.87,2.3
"Cucumbers fresh, fresh equivalent",3.56,3.24,3.42,2.87,2.3
Other edible roots fresh,0.05,0.06,0.05,0.07,0.07
"Other edible roots fresh, fresh equivalent",0.05,0.06,0.05,0.07,0.07
Eggplants fresh,0.62,0.63,0.63,0.68,0.64
"Eggplants fresh, fresh equivalent",0.62,0.63,0.63,0.68,0.64
Garlic fresh,0.49,0.47,0.55,0.52,0.54
"Garlic fresh, fresh equivalent",0.49,0.47,0.55,0.52,0.54
Leeks fresh,0.27,0.3,0.31,0.3,0.24
"Leeks fresh, fresh equivalent",0.27,0.3,0.31,0.3,0.24
Lettuce fresh,8.2,8.29,7.45,7.85,7.9
"Lettuce fresh, fresh equivalent",8.2,8.29,7.45,7.85,7.9
Manioc fresh,0.12,0.13,0.16,0.16,0.15
"Manioc fresh, fresh equivalent",0.12,0.13,0.16,0.16,0.15
Mushrooms fresh,2.13,2.1,1.86,1.82,1.6
"Mushrooms fresh, fresh equivalent",2.13,2.1,1.86,1.82,1.6
Mushrooms canned,0.31,0.3,0.35,0.31,0.31
"Mushrooms canned, fresh equivalent",0.26,0.25,0.29,0.26,0.26
Okra fresh,0.17,0.18,0.17,0.19,0.16
"Okra fresh, fresh equivalent",0.17,0.18,0.17,0.19,0.16
Olives fresh,0.0,0.01,0.01,0.0,0.0
"Olives fresh, fresh equivalent",0.0,0.01,0.01,0.0,0.0
Onions and shallots fresh,8.44,8.86,9.58,9.37,9.2
"Onions and shallots fresh, fresh equivalent",8.44,8.86,9.58,9.37,9.2
Parsley fresh,0.3,0.3,0.27,0.26,0.25
"Parsley fresh, fresh equivalent",0.3,0.3,0.27,0.26,0.25
Parsnips fresh,0.19,0.16,0.16,0.13,0.14
"Parsnips fresh, fresh equivalent",0.19,0.16,0.16,0.13,0.14
Peas fresh,0.32,0.26,0.22,0.2,0.19
"Peas fresh, fresh equivalent",0.32,0.26,0.22,0.2,0.19
Peas canned,0.44,0.42,0.43,0.37,0.39
"Peas canned, fresh equivalent",0.32,0.31,0.32,0.27,0.28
Peas frozen,0.67,0.68,0.78,0.74,0.69
"Peas frozen, fresh equivalent",0.73,0.74,0.85,0.8,0.75
Peppers fresh,4.33,4.31,3.95,4.22,3.89
"Peppers fresh, fresh equivalent",4.33,4.31,3.95,4.22,3.89
Potatoes chips,3.65,3.6,3.7,3.9,3.94
"Potatoes chips, fresh equivalent",12.77,12.62,12.96,13.65,13.77
Potatoes frozen,4.12,5.82,6.11,6.47,4.3
"Potatoes frozen, fresh equivalent",7.0,9.89,10.38,11.0,7.31
Potatoes other processed,4.02,4.26,4.12,4.63,4.46
"Potatoes other processed, fresh equivalent",10.61,11.24,10.88,12.21,11.78
Potatoes total processed,11.78,13.68,13.93,15.0,12.7
"Potatoes total processed, fresh equivalent",30.38,33.74,34.22,36.87,32.87
Potatoes sweet fresh,1.11,0.89,1.0,1.19,1.08
"Potatoes sweet, fresh equivalent",1.11,0.89,1.0,1.19,1.08
Potatoes white fresh,20.3,27.34,23.24,30.56,32.37
"Potatoes white fresh, fresh equivalent",20.3,27.34,23.24,30.56,32.37
"Potatoes white fresh and processed, fresh equivalent",50.68,61.08,57.46,67.44,65.24
Pumpkins and squash fresh,3.2,3.17,3.45,2.99,2.88
"Pumpkins and squash fresh, fresh equivalent",3.2,3.17,3.45,2.99,2.88
Radishes fresh,0.35,0.37,0.44,0.33,0.24
"Radishes fresh, fresh equivalent",0.35,0.37,0.44,0.33,0.24
Rappini fresh,0.18,0.18,0.17,0.17,0.19
"Rappini fresh, fresh equivalent",0.18,0.18,0.17,0.17,0.19
Rutabagas and turnips fresh,1.17,0.91,0.98,0.95,0.89
"Rutabagas and turnips fresh, fresh equivalent",1.17,0.91,0.98,0.95,0.89
Spinach fresh,0.94,0.92,0.93,0.97,0.87
"Spinach fresh, fresh equivalent",0.94,0.92,0.93,0.97,0.87
Spinach frozen,0.32,0.32,0.33,0.36,0.38
"Spinach frozen, fresh equivalent",0.46,0.45,0.48,0.51,0.55
Tomatoes fresh,8.42,7.87,7.09,7.23,7.49
"Tomatoes fresh, fresh equivalent",8.42,7.87,7.09,7.23,7.49
Tomatoes canned,3.45,3.47,3.49,3.54,3.3
"Tomatoes canned, fresh equivalent",5.87,5.9,5.92,6.01,5.61
Tomato juice,0.54,0.49,0.45,0.43,0.38
"Tomato juice, fresh equivalent",0.54,0.49,0.45,0.43,0.38
Tomato juice,0.54,0.49,0.45,0.43,0.38
"Tomatoes, pulp, paste and puree",2.68,2.68,2.99,2.48,2.43
"Tomatoes, pulp, paste and puree, fresh equivalent",14.45,14.49,16.13,13.39,13.12
Vegetables not specified canned,3.32,3.44,3.03,3.33,3.34
"Vegetables not specified canned, fresh equivalent",4.32,4.47,3.94,4.33,4.35
Vegetables not specified frozen,0.92,0.93,1.07,0.92,0.92
"Vegetables not specified frozen, fresh equivalent",1.34,1.35,1.56,1.33,1.33
"Processed sea fish, edible weight 20",2.54,2.63,2.45,2.11,2.35
"Total shellfish, edible weight 20",1.57,1.48,1.33,1.18,1.36
